[genesys] WARNING: Your scanner is not fully supported or at least 
[genesys]          had only limited testing. Please be careful and 
[genesys]          report any failure/success to 
[genesys]          sane-devel@lists.alioth.debian.org. Please provide as many
[genesys]          details as possible, e.g. the exact name of your
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xcd
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xed
[genesys_low] sanei_genesys_read_gl847_register(0x04)=0x12
[genesys_low] sanei_genesys_fe_write_data (0x00, 0x0080)
[genesys_low] sanei_genesys_write_gl847_register (0x51, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3a, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3b, 0x80) completed
[genesys_low] sanei_genesys_fe_write_data: completed
[genesys_low] sanei_genesys_fe_write_data (0x00, 0x009d)
[genesys_low] sanei_genesys_write_gl847_register (0x51, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3a, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3b, 0x9d) completed
[genesys_low] sanei_genesys_fe_write_data: completed
[genesys_low] sanei_genesys_fe_write_data (0x01, 0x0091)
[genesys_low] sanei_genesys_write_gl847_register (0x51, 0x01) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3a, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3b, 0x91) completed
[genesys_low] sanei_genesys_fe_write_data: completed
[genesys_low] sanei_genesys_fe_write_data (0x02, 0x0032)
[genesys_low] sanei_genesys_write_gl847_register (0x51, 0x02) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3a, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3b, 0x32) completed
[genesys_low] sanei_genesys_fe_write_data: completed
[genesys_low] sanei_genesys_fe_write_data (0x03, 0x0004)
[genesys_low] sanei_genesys_write_gl847_register (0x51, 0x03) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3a, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3b, 0x04) completed
[genesys_low] sanei_genesys_fe_write_data: completed
[genesys_low] sanei_genesys_fe_write_data (0x04, 0x0000)
[genesys_low] sanei_genesys_write_gl847_register (0x51, 0x04) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3a, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3b, 0x00) completed
[genesys_low] sanei_genesys_fe_write_data: completed
[genesys_low] sanei_genesys_fe_write_data (0x05, 0x0000)
[genesys_low] sanei_genesys_write_gl847_register (0x51, 0x05) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3a, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3b, 0x00) completed
[genesys_low] sanei_genesys_fe_write_data: completed
[genesys_low] sanei_genesys_fe_write_data (0x06, 0x003f)
[genesys_low] sanei_genesys_write_gl847_register (0x51, 0x06) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3a, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3b, 0x3f) completed
[genesys_low] sanei_genesys_fe_write_data: completed
[genesys_low] sanei_genesys_fe_write_data (0x07, 0x0000)
[genesys_low] sanei_genesys_write_gl847_register (0x51, 0x07) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3a, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3b, 0x00) completed
[genesys_low] sanei_genesys_fe_write_data: completed
[genesys_low] sanei_genesys_read_gl847_register(0x6c)=0xe1
[genesys_low] sanei_genesys_write_gl847_register (0x6c, 0xfc) completed
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xed
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xec
[genesys_low] sanei_genesys_read_gl847_register(0x6c)=0xfc
[genesys_low] sanei_genesys_write_gl847_register (0x6c, 0xfc) completed
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xec
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xec
[genesys_low] sanei_genesys_read_gl847_register(0xbd)=0x18
[genesys_low] sanei_genesys_write_gl847_register (0xbd, 0x18) completed
[genesys_low] sanei_genesys_read_gl847_register(0xbe)=0x00
[genesys_low] sanei_genesys_write_gl847_register (0xbe, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0xc5, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0xc6, 0x00) completed
[genesys_low] sanei_genesys_write_ahb: write(0x01000000,0x00000200)
[genesys_low] sanei_genesys_write_ahb: AHB= 0x00 0x00 0x00 0x01 0x00 0x02 0x00 0x00
[genesys_low] sanei_genesys_read_gl847_register(0xbd)=0x18
[genesys_low] sanei_genesys_write_gl847_register (0xbd, 0x18) completed
[genesys_low] sanei_genesys_read_gl847_register(0xbe)=0x00
[genesys_low] sanei_genesys_write_gl847_register (0xbe, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0xc7, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0xc8, 0x00) completed
[genesys_low] sanei_genesys_write_ahb: write(0x01000200,0x00000200)
[genesys_low] sanei_genesys_write_ahb: AHB= 0x00 0x02 0x00 0x01 0x00 0x02 0x00 0x00
[genesys_low] sanei_genesys_read_gl847_register(0xbd)=0x18
[genesys_low] sanei_genesys_write_gl847_register (0xbd, 0x18) completed
[genesys_low] sanei_genesys_read_gl847_register(0xbe)=0x00
[genesys_low] sanei_genesys_write_gl847_register (0xbe, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0xc9, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0xca, 0x00) completed
[genesys_low] sanei_genesys_write_ahb: write(0x01000400,0x00000200)
[genesys_low] sanei_genesys_write_ahb: AHB= 0x00 0x04 0x00 0x01 0x00 0x02 0x00 0x00
[genesys_low] sanei_genesys_is_compatible_calibration start
[genesys_low] sanei_genesys_is_compatible_calibration: checking
[genesys_low] sanei_genesys_is_compatible_calibration: completed, non compatible cache
[genesys_low] sanei_genesys_is_compatible_calibration start
[genesys_low] sanei_genesys_is_compatible_calibration: checking
[genesys_low] sanei_genesys_is_compatible_calibration: expired entry, non compatible cache
[genesys_low] sanei_genesys_write_gl847_register (0x0d, 0x01) completed
[genesys_low] sanei_genesys_write_gl847_register (0x0d, 0x04) completed
[genesys_low] sanei_genesys_read_gl847_register(0x04)=0x12
[genesys_low] sanei_genesys_fe_write_data (0x00, 0x0080)
[genesys_low] sanei_genesys_write_gl847_register (0x51, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3a, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3b, 0x80) completed
[genesys_low] sanei_genesys_fe_write_data: completed
[genesys_low] sanei_genesys_fe_write_data (0x00, 0x009d)
[genesys_low] sanei_genesys_write_gl847_register (0x51, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3a, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3b, 0x9d) completed
[genesys_low] sanei_genesys_fe_write_data: completed
[genesys_low] sanei_genesys_fe_write_data (0x01, 0x0091)
[genesys_low] sanei_genesys_write_gl847_register (0x51, 0x01) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3a, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3b, 0x91) completed
[genesys_low] sanei_genesys_fe_write_data: completed
[genesys_low] sanei_genesys_fe_write_data (0x02, 0x0032)
[genesys_low] sanei_genesys_write_gl847_register (0x51, 0x02) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3a, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3b, 0x32) completed
[genesys_low] sanei_genesys_fe_write_data: completed
[genesys_low] sanei_genesys_fe_write_data (0x03, 0x0004)
[genesys_low] sanei_genesys_write_gl847_register (0x51, 0x03) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3a, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3b, 0x04) completed
[genesys_low] sanei_genesys_fe_write_data: completed
[genesys_low] sanei_genesys_fe_write_data (0x04, 0x0000)
[genesys_low] sanei_genesys_write_gl847_register (0x51, 0x04) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3a, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3b, 0x00) completed
[genesys_low] sanei_genesys_fe_write_data: completed
[genesys_low] sanei_genesys_fe_write_data (0x05, 0x0000)
[genesys_low] sanei_genesys_write_gl847_register (0x51, 0x05) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3a, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0x3b, 0x00) completed
[genesys_low] sanei_genesys_fe_write_data: completed
[genesys_low] sanei_genesys_fe_write_data (0x06, 0x003f)
[genesys_low] sanei_genesys_write_gl847_register (0x51, 0x06) completed
